model,lead,fold,test_years,group,n_cells,n_flooded,base_rate,precision,recall,f1,csi,pr_auc,brier,threshold
persistence,6,3,2014-2015,recurring,383832,61238,0.1595437587277767,0.3444198895027624,0.3562983768248473,0.3502584518573217,0.2123111054890093,0.2254148240365623,0.2108995602242648,0.5
climatology,6,3,2014-2015,recurring,383832,61238,0.1595437587277767,0.4006817113305124,0.5010124432541886,0.4452652202307525,0.2863930401665282,0.3714322762455199,0.1222683776922654,0.17
persistence,6,4,2016-2017,all,59601600,218779,0.0036706900485892,0.1335431143743717,0.1396660557000443,0.1365359738510106,0.073269981032676,0.0218094592983738,0.0064843393465947,0.5
climatology,6,4,2016-2017,all,59601600,218779,0.0036706900485892,0.1084516886233862,0.1503617806096563,0.1260134494534603,0.0672435185923341,0.0585166241818852,0.0036680084757479,0.08
persistence,6,4,2016-2017,unusual,59217768,165170,0.0027891966478709,0.0634418932516244,0.0675667494096991,0.0654393850105107,0.0338264846826039,0.0068873022003192,0.0053828269920608,0.5
climatology,6,4,2016-2017,unusual,59217768,165170,0.0027891966478709,0.0270963404976333,0.0356299570139855,0.0307826696446785,0.0156319311079413,0.0049205887994602,0.0029742590343077,0.08
persistence,6,4,2016-2017,recurring,383832,53609,0.1396678755288772,0.3666471333245118,0.3618049208155347,0.3642099333395925,0.222650779438437,0.2217900879223956,0.1764261447716709,0.5
climatology,6,4,2016-2017,recurring,383832,53609,0.1396678755288772,0.313585492709204,0.5038519651551046,0.3865755483201545,0.2395994110028917,0.3334233666812517,0.1106999742142315,0.08
persistence,6,5,2018-2019,all,59601600,166719,0.002797223564468,0.1584145776081595,0.1414175948752092,0.1494343210267786,0.0807506173516044,0.0248042554941708,0.0045031677001959,0.5
climatology,6,5,2018-2019,all,59601600,166719,0.002797223564468,0.1464420841500661,0.1541515963987308,0.1501979749572637,0.0811967837227303,0.073119440864661,0.0028274585272797,0.135
persistence,6,5,2018-2019,unusual,59217768,121706,0.0020552277485365,0.0802071563088512,0.0699883325390695,0.0747501162760085,0.0388261892172771,0.0075249509131854,0.0035609244846918,0.5
climatology,6,5,2018-2019,unusual,59217768,121706,0.0020552277485365,0.0307140047206923,0.0256601975251836,0.0279605704923316,0.0141785047874586,0.0065535839697633,0.0022529573497885,0.135
persistence,6,5,2018-2019,recurring,383832,45013,0.1172726609558348,0.3532405995636978,0.3345477973030014,0.3436401807311396,0.2074671075291038,0.1962152150512252,0.1498728610433731,0.5
climatology,6,5,2018-2019,recurring,383832,45013,0.1172726609558348,0.3058550991654926,0.5015662142047853,0.3799914162367772,0.2345613597639529,0.3348193642781081,0.0914617502080169,0.135
persistence,6,6,2020-2021,all,59601600,935811,0.0157011053394539,0.2697120474274825,0.2177961148137818,0.2409897540099238,0.1370030416589645,0.0710237016464151,0.02154068011597,0.5
climatology,6,6,2020-2021,all,59601600,935811,0.0157011053394539,0.3566936297292487,0.0385451763229968,0.0695722112336622,0.0360397895422564,0.0651029712982625,0.0151001933530829,0.18
persistence,6,6,2020-2021,unusual,59217768,850848,0.0143681200547781,0.246040815358598,0.1951030031215916,0.2176310761072272,0.122102149106096,0.0595681586498268,0.0201550825083444,0.5
climatology,6,6,2020-2021,unusual,59217768,850848,0.0143681200547781,0.1173679644290207,0.0050878652826356,0.0097529434559078,0.004900368235109,0.0319393492756573,0.014135302269096,0.18
